stock,total_return,cagr,volatility,sharpe,max_drawdown,avg_volume
ADANIENT,-0.025,-0.2853,0.6411,-0.4046,-0.1802,1947836.0526
ADANIPORTS,0.0391,0.6631,0.5147,0.886,-0.1119,2851882.9474
APOLLOHOSP,-0.0353,-0.3793,0.2562,0.1609,-0.0878,478634.0
ASIANPAINT,-0.1475,-0.8796,0.3039,-6.3284,-0.1707,1638689.7368
AXISBANK,0.0482,0.8677,0.3428,2.2272,-0.043,8847851.8421
BAJAJ-AUTO,-0.0068,-0.0863,0.1963,0.7869,-0.0624,356673.8947
BAJAJFINSV,-0.0156,-0.1883,0.2478,-0.5833,-0.0621,1288862.0
BAJFINANCE,-0.0133,-0.1621,0.3451,-0.407,-0.0754,8079612.8421
BHARTIARTL,-0.0513,-0.5026,0.1229,-5.6008,-0.0701,6448153.9474
BPCL,0.0356,0.5895,0.277,0.8965,-0.0584,7958493.7895
BRITANNIA,-0.0404,-0.4211,0.2197,-1.3599,-0.0747,412539.9474
CIPLA,-0.1359,-0.8559,0.2311,-7.8269,-0.1432,2637813.3684
COALINDIA,0.0055,0.0755,0.37,0.338,-0.0708,9984408.6316
DIVISLAB,-0.0653,-0.5914,0.3128,-0.8952,-0.1039,406134.8947
DRREDDY,-0.0166,-0.1986,0.3303,-0.3175,-0.0788,2085463.2632
EICHERMOT,-0.0409,-0.4251,0.2197,-2.0924,-0.0804,447712.3158
GRASIM,-0.0197,-0.2318,0.2263,-0.722,-0.0529,729234.0
HCLTECH,0.0565,1.0723,0.1715,4.7543,-0.0305,2938942.8421
HDFCBANK,-0.014,-0.1709,0.1475,-2.6166,-0.0479,35806052.4211
HDFCLIFE,-0.0742,-0.6402,0.1866,-3.669,-0.0845,2992868.8947
HEROMOTOCO,-0.0395,-0.4141,0.2476,-1.9102,-0.1033,461655.6842
HINDALCO,0.0138,0.2001,0.3956,1.0293,-0.0914,7829635.4211
HINDUNILVR,-0.0231,-0.2669,0.1756,-0.4098,-0.0297,1435189.0
ICICIBANK,-0.0152,-0.1842,0.2464,0.8264,-0.0651,17196141.4211
INDUSINDBK,0.0089,0.1249,0.2874,1.2746,-0.0644,5432425.3158
INFY,0.0272,0.4269,0.2548,1.7024,-0.0357,7386097.0
ITC,-0.0753,-0.6462,0.1724,-7.5336,-0.081,28621304.0
JSWSTEEL,0.0451,0.7961,0.2791,1.8447,-0.0309,1905699.4737
KOTAKBANK,-0.0314,-0.345,0.2003,-3.3711,-0.0496,18486119.6316
LT,-0.0246,-0.2812,0.2659,-1.2327,-0.0994,2299914.5789
LTIM,0.0103,0.1453,0.361,0.0826,-0.0879,372603.0
MARUTI,-0.1452,-0.8751,0.2425,-7.9961,-0.1682,498627.3158
MM,-0.0681,-0.6074,0.2362,-3.908,-0.106,2704737.7368
NESTLEIND,-0.009,-0.1132,0.1957,-0.2492,-0.0278,1257589.9474
NTPC,0.0221,0.3362,0.2628,1.2559,-0.0422,11487180.0526
ONGC,0.0625,1.2337,0.4546,2.4467,-0.0779,18862431.5789
POWERGRID,0.0546,1.0228,0.3212,1.8702,-0.054,17961366.4211
RELIANCE,-0.0468,-0.4702,0.2692,-4.4712,-0.0843,15711263.1053
SBILIFE,-0.0447,-0.4548,0.1763,-2.6254,-0.0485,1211015.7895
SBIN,0.0445,0.7806,0.2774,2.847,-0.045,10280143.6842
SUNPHARMA,-0.033,-0.3593,0.2928,-0.5692,-0.1084,3272707.2632
TATACONSUM,-0.0454,-0.4603,0.3221,-0.7869,-0.0869,1563077.1579
TATASTEEL,0.0361,0.6015,0.3708,1.539,-0.0683,32577354.1053
TCS,0.0086,0.1209,0.2371,1.2811,-0.0415,3182108.3684
TECHM,0.0716,1.5025,0.3042,3.2972,-0.0293,2390597.9474
TITAN,-0.0105,-0.1307,0.2259,-0.0543,-0.078,1053916.1053
ULTRACEMCO,0.0316,0.5113,0.1783,3.1202,-0.0258,332866.7895
UPL,-0.0744,-0.6416,0.44,-2.3321,-0.1386,3679876.0526
WIPRO,-0.0627,-0.5761,0.3844,-1.742,-0.1196,13867088.5263
